start,end,labelName
2020-09-07 00:30:00,2020-09-07 01:00:00,Wake up
2020-09-07 01:00:00,2020-09-07 01:30:00,Take medicine
2020-09-07 01:30:00,2020-09-07 02:00:00,Go to bathroom
2020-09-07 02:00:00,2020-09-07 02:30:00,Take shower
2020-09-07 02:30:00,2020-09-07 03:00:00,Take shower
2020-09-07 03:00:00,2020-09-07 03:30:00,Take shower
2020-09-07 03:30:00,2020-09-07 04:00:00,Cook
2020-09-07 04:00:00,2020-09-07 04:30:00,Cook
2020-09-07 04:30:00,2020-09-07 05:00:00,Eat
2020-09-07 05:00:00,2020-09-07 05:30:00,Eat
2020-09-07 05:30:00,2020-09-07 06:00:00,Eat
2020-09-07 06:00:00,2020-09-07 06:30:00,Eat
2020-09-07 06:30:00,2020-09-07 07:00:00,Clean
2020-09-07 07:00:00,2020-09-07 07:30:00,Clean
2020-09-07 07:30:00,2020-09-07 08:00:00,Go walk
2020-09-07 08:00:00,2020-09-07 08:30:00,Go walk
2020-09-07 08:30:00,2020-09-07 09:00:00,Go walk
2020-09-07 09:00:00,2020-09-07 09:30:00,Go walk
2020-09-07 09:30:00,2020-09-07 10:00:00,Go to bathroom
2020-09-07 10:00:00,2020-09-07 10:30:00,Watch TV
2020-09-07 10:30:00,2020-09-07 11:00:00,Watch TV
2020-09-07 11:00:00,2020-09-07 11:30:00,Watch TV
2020-09-07 11:30:00,2020-09-07 12:00:00,Watch TV
2020-09-07 12:00:00,2020-09-07 12:30:00,Watch TV
2020-09-07 12:30:00,2020-09-07 13:00:00,Watch TV
2020-09-07 13:00:00,2020-09-07 13:30:00,Watch TV
2020-09-07 13:30:00,2020-09-07 14:00:00,Watch TV
2020-09-07 14:00:00,2020-09-07 14:30:00,Work out
2020-09-07 14:30:00,2020-09-07 15:00:00,Work out
2020-09-07 15:00:00,2020-09-07 15:30:00,Go to bathroom
2020-09-07 15:30:00,2020-09-07 16:00:00,Work out
2020-09-07 16:00:00,2020-09-07 16:30:00,Take shower
2020-09-07 16:30:00,2020-09-07 17:00:00,Take shower
2020-09-07 17:00:00,2020-09-07 17:30:00,Cook
2020-09-07 17:30:00,2020-09-07 18:00:00,Cook
2020-09-07 18:00:00,2020-09-07 18:30:00,Eat
2020-09-07 18:30:00,2020-09-07 19:00:00,Eat
2020-09-07 19:00:00,2020-09-07 19:30:00,Clean
2020-09-07 19:30:00,2020-09-07 20:00:00,Sleep
2020-09-07 20:00:00,2020-09-07 20:30:00,Sleep
2020-09-07 20:30:00,2020-09-07 21:00:00,Sleep
