start,end,labelName
2020-08-04 11:30:00,2020-08-04 12:00:00,Wake up
2020-08-04 12:00:00,2020-08-04 12:30:00,Eat
2020-08-04 12:00:00,2020-08-04 12:30:00,Take medicine
2020-08-04 12:00:00,2020-08-04 12:30:00,Go to bathroom
2020-08-04 12:30:00,2020-08-04 13:00:00,Take medicine
2020-08-04 14:30:00,2020-08-04 15:00:00,Go to bathroom
2020-08-04 15:00:00,2020-08-04 15:30:00,Go to bathroom
2020-08-04 16:00:00,2020-08-04 16:30:00,Eat
2020-08-04 17:30:00,2020-08-04 18:00:00,Go to bathroom
2020-08-04 18:30:00,2020-08-04 19:00:00,Eat
2020-08-04 20:00:00,2020-08-04 20:30:00,Go to bathroom
2020-08-04 20:30:00,2020-08-04 21:00:00,Go to bathroom
2020-08-04 22:00:00,2020-08-04 22:30:00,Eat
2020-08-04 22:00:00,2020-08-04 22:30:00,Take medicine
2020-08-04 22:00:00,2020-08-04 22:30:00,Go to bathroom
2020-08-04 23:00:00,2020-08-04 23:30:00,Eat
2020-08-05 06:00:00,2020-08-05 06:30:00,Wake up
2020-08-05 06:30:00,2020-08-05 07:00:00,Go to bathroom
2020-08-05 07:00:00,2020-08-05 07:30:00,Go to bathroom
2020-08-05 07:00:00,2020-08-05 07:30:00,Drink
2020-08-05 07:00:00,2020-08-05 07:30:00,Cook
2020-08-05 08:00:00,2020-08-05 08:30:00,Eat
2020-08-05 09:30:00,2020-08-05 10:00:00,Go to bathroom
2020-08-05 10:00:00,2020-08-05 10:30:00,Eat
2020-08-05 10:30:00,2020-08-05 11:00:00,Eat
2020-08-05 11:00:00,2020-08-05 11:30:00,Go to bathroom
2020-08-05 11:30:00,2020-08-05 12:00:00,Go to bathroom
2020-08-05 13:30:00,2020-08-05 14:00:00,Eat
2020-08-05 15:30:00,2020-08-05 16:00:00,Go to bathroom
2020-08-05 16:00:00,2020-08-05 16:30:00,Eat
2020-08-05 19:30:00,2020-08-05 20:00:00,Sleep
2020-08-06 10:00:00,2020-08-06 10:30:00,Eat
2020-08-06 13:30:00,2020-08-06 14:00:00,Eat
2020-08-06 13:30:00,2020-08-06 14:00:00,Go to bathroom
2020-08-06 20:30:00,2020-08-06 21:00:00,Go to bathroom
2020-08-08 07:00:00,2020-08-08 07:30:00,Eat
2020-08-08 07:00:00,2020-08-08 07:30:00,Wake up
2020-08-08 08:00:00,2020-08-08 08:30:00,Eat
2020-08-08 08:00:00,2020-08-08 08:30:00,Go to bathroom
2020-08-08 10:00:00,2020-08-08 10:30:00,Eat
2020-08-08 10:30:00,2020-08-08 11:00:00,Eat
2020-08-08 11:00:00,2020-08-08 11:30:00,Go to bathroom
2020-08-08 20:00:00,2020-08-08 20:30:00,Go to bathroom
2020-08-08 20:30:00,2020-08-08 21:00:00,Sleep
2020-08-12 09:30:00,2020-08-12 10:00:00,Wake up
2020-08-12 09:30:00,2020-08-12 10:00:00,Eat
2020-08-12 10:00:00,2020-08-12 10:30:00,Go to bathroom
2020-08-12 11:30:00,2020-08-12 12:00:00,Eat
2020-08-12 12:00:00,2020-08-12 12:30:00,Go to bathroom
2020-08-12 13:30:00,2020-08-12 14:00:00,Go to bathroom
2020-08-12 14:30:00,2020-08-12 15:00:00,Eat
2020-08-12 15:30:00,2020-08-12 16:00:00,Eat
2020-08-12 17:30:00,2020-08-12 18:00:00,Sleep
2020-08-21 11:00:00,2020-08-21 11:30:00,Go to bathroom
2020-08-21 11:30:00,2020-08-21 12:00:00,Eat
2020-08-21 15:30:00,2020-08-21 16:00:00,Go to bathroom
2020-08-21 15:30:00,2020-08-21 16:00:00,Eat
2020-08-21 16:30:00,2020-08-21 17:00:00,Go to bathroom
2020-08-21 17:30:00,2020-08-21 18:00:00,Go to bathroom
2020-08-21 18:30:00,2020-08-21 19:00:00,Eat
2020-08-21 19:30:00,2020-08-21 20:00:00,Go to bathroom
2020-08-21 20:00:00,2020-08-21 20:30:00,Eat
2020-08-21 21:30:00,2020-08-21 22:00:00,Go to bathroom
2020-08-21 22:30:00,2020-08-21 23:00:00,Eat
2020-08-21 23:30:00,2020-08-22 00:00:00,Eat
2020-08-22 08:30:00,2020-08-22 09:00:00,Wake up
2020-08-22 08:30:00,2020-08-22 09:00:00,Go to bathroom
2020-08-22 09:30:00,2020-08-22 10:00:00,Go to bathroom
2020-08-22 12:00:00,2020-08-22 12:30:00,Go to bathroom
2020-08-22 13:00:00,2020-08-22 13:30:00,Take medicine
2020-08-22 16:00:00,2020-08-22 16:30:00,Eat
2020-08-22 20:00:00,2020-08-22 20:30:00,Go to bathroom
2020-08-22 21:30:00,2020-08-22 22:00:00,Eat
2020-08-22 22:30:00,2020-08-22 23:00:00,Go to bathroom
2020-08-22 23:00:00,2020-08-22 23:30:00,Sleep
2020-08-23 06:30:00,2020-08-23 07:00:00,Wake up
2020-08-23 06:30:00,2020-08-23 07:00:00,Go to bathroom
2020-08-23 06:30:00,2020-08-23 07:00:00,Eat
2020-08-23 09:00:00,2020-08-23 09:30:00,Eat
2020-08-23 11:00:00,2020-08-23 11:30:00,Go to bathroom
2020-08-23 13:30:00,2020-08-23 14:00:00,Go to bathroom
2020-08-23 16:00:00,2020-08-23 16:30:00,Wash dishes
2020-08-23 17:00:00,2020-08-23 17:30:00,Go to bathroom
2020-08-23 18:30:00,2020-08-23 19:00:00,Go to bathroom
2020-08-23 19:30:00,2020-08-23 20:00:00,Eat
2020-08-23 21:30:00,2020-08-23 22:00:00,Eat
2020-08-23 22:00:00,2020-08-23 22:30:00,Sleep
2020-08-24 09:30:00,2020-08-24 10:00:00,Wake up
2020-08-24 11:00:00,2020-08-24 11:30:00,Eat
2020-08-24 11:00:00,2020-08-24 11:30:00,Wash dishes
2020-08-24 11:30:00,2020-08-24 12:00:00,Go to bathroom
2020-08-24 11:30:00,2020-08-24 12:00:00,Drink
2020-08-24 13:00:00,2020-08-24 13:30:00,Eat
2020-08-24 15:30:00,2020-08-24 16:00:00,Go to bathroom
2020-08-24 19:30:00,2020-08-24 20:00:00,Sleep
2020-08-25 08:30:00,2020-08-25 09:00:00,Go to bathroom
2020-08-25 09:00:00,2020-08-25 09:30:00,Wake up
2020-08-25 09:30:00,2020-08-25 10:00:00,Eat
2020-08-25 10:00:00,2020-08-25 10:30:00,Go to bathroom
2020-08-25 11:00:00,2020-08-25 11:30:00,Go to bathroom
2020-08-25 13:30:00,2020-08-25 14:00:00,Go to bathroom
2020-08-25 16:30:00,2020-08-25 17:00:00,Eat
2020-08-25 17:00:00,2020-08-25 17:30:00,Go to bathroom
2020-08-25 18:00:00,2020-08-25 18:30:00,Go to bathroom
2020-08-25 21:00:00,2020-08-25 21:30:00,Go to bathroom
2020-08-25 21:30:00,2020-08-25 22:00:00,Sleep
2020-08-26 08:30:00,2020-08-26 09:00:00,Wake up
2020-08-26 09:30:00,2020-08-26 10:00:00,Eat
2020-08-26 09:30:00,2020-08-26 10:00:00,Wash dishes
2020-08-26 10:30:00,2020-08-26 11:00:00,Go to bathroom
2020-08-26 11:30:00,2020-08-26 12:00:00,Go to bathroom
2020-08-26 13:30:00,2020-08-26 14:00:00,Go to bathroom
2020-08-26 15:30:00,2020-08-26 16:00:00,Go to bathroom
2020-08-26 16:30:00,2020-08-26 17:00:00,Eat
2020-08-26 18:00:00,2020-08-26 18:30:00,Eat
2020-08-26 19:00:00,2020-08-26 19:30:00,Go to bathroom
2020-08-26 21:00:00,2020-08-26 21:30:00,Go to bathroom
2020-08-26 21:30:00,2020-08-26 22:00:00,Sleep
2020-08-27 06:30:00,2020-08-27 07:00:00,Wake up
2020-08-27 06:30:00,2020-08-27 07:00:00,Go to bathroom
2020-08-27 15:30:00,2020-08-27 16:00:00,Go to bathroom
2020-08-27 17:30:00,2020-08-27 18:00:00,Go to bathroom
2020-08-27 21:00:00,2020-08-27 21:30:00,Go to bathroom
2020-08-27 21:30:00,2020-08-27 22:00:00,Sleep
2020-08-28 08:00:00,2020-08-28 08:30:00,Wake up
2020-08-28 08:00:00,2020-08-28 08:30:00,Go to bathroom
2020-08-28 14:00:00,2020-08-28 14:30:00,Go to bathroom
2020-08-28 17:00:00,2020-08-28 17:30:00,Go to bathroom
2020-08-28 18:30:00,2020-08-28 19:00:00,Go to bathroom
2020-08-28 23:00:00,2020-08-28 23:30:00,Sleep
2020-08-29 13:30:00,2020-08-29 14:00:00,Go to bathroom
2020-08-30 09:30:00,2020-08-30 10:00:00,Wake up
2020-08-30 15:30:00,2020-08-30 16:00:00,Eat
2020-08-30 18:00:00,2020-08-30 18:30:00,Go to bathroom
2020-08-30 19:30:00,2020-08-30 20:00:00,Sleep
2020-08-31 13:30:00,2020-08-31 14:00:00,Go to bathroom
2020-08-31 16:30:00,2020-08-31 17:00:00,Go to bathroom
2020-09-01 13:00:00,2020-09-01 13:30:00,Eat
2020-09-01 13:30:00,2020-09-01 14:00:00,Go to bathroom
2020-09-01 15:00:00,2020-09-01 15:30:00,Go to bathroom
2020-09-02 07:00:00,2020-09-02 07:30:00,Wake up
2020-09-02 07:00:00,2020-09-02 07:30:00,Go to bathroom
2020-09-02 08:00:00,2020-09-02 08:30:00,Eat
2020-09-02 08:30:00,2020-09-02 09:00:00,Go to bathroom
2020-09-02 10:00:00,2020-09-02 10:30:00,Go to bathroom
2020-09-02 17:30:00,2020-09-02 18:00:00,Go to bathroom
2020-09-02 19:30:00,2020-09-02 20:00:00,Go to bathroom
2020-09-02 21:30:00,2020-09-02 22:00:00,Go to bathroom
2020-09-02 22:00:00,2020-09-02 22:30:00,Sleep
2020-09-03 12:00:00,2020-09-03 12:30:00,Eat
2020-09-03 12:00:00,2020-09-03 12:30:00,Go to bathroom
2020-09-08 09:30:00,2020-09-08 10:00:00,Wake up
2020-09-08 10:00:00,2020-09-08 10:30:00,Go to bathroom
2020-09-08 11:00:00,2020-09-08 11:30:00,Eat
2020-09-08 12:30:00,2020-09-08 13:00:00,Go to bathroom
2020-09-08 15:30:00,2020-09-08 16:00:00,Eat
2020-09-08 18:00:00,2020-09-08 18:30:00,Eat
2020-09-08 20:30:00,2020-09-08 21:00:00,Go to bathroom
2020-09-08 22:00:00,2020-09-08 22:30:00,Go to bathroom
2020-09-08 23:00:00,2020-09-08 23:30:00,Wash dishes
2020-09-08 23:30:00,2020-09-09 00:00:00,Sleep
2020-09-09 08:30:00,2020-09-09 09:00:00,Wake up
2020-09-09 09:30:00,2020-09-09 10:00:00,Go to bathroom
2020-09-09 14:00:00,2020-09-09 14:30:00,Go to bathroom
2020-09-09 22:00:00,2020-09-09 22:30:00,Go to bathroom
2020-09-09 22:30:00,2020-09-09 23:00:00,Sleep
2020-09-10 10:30:00,2020-09-10 11:00:00,Wake up
2020-09-10 12:30:00,2020-09-10 13:00:00,Go to bathroom
2020-09-10 14:00:00,2020-09-10 14:30:00,Go to bathroom
2020-09-10 16:00:00,2020-09-10 16:30:00,Eat
2020-09-10 17:00:00,2020-09-10 17:30:00,Go to bathroom
2020-09-10 19:00:00,2020-09-10 19:30:00,Eat
2020-09-10 19:30:00,2020-09-10 20:00:00,Go to bathroom
2020-09-10 22:00:00,2020-09-10 22:30:00,Go to bathroom
2020-09-10 22:30:00,2020-09-10 23:00:00,Take medicine
2020-09-10 23:00:00,2020-09-10 23:30:00,Sleep
2020-09-11 08:30:00,2020-09-11 09:00:00,Go to bathroom
2020-09-11 10:00:00,2020-09-11 10:30:00,Go to bathroom
2020-09-11 13:30:00,2020-09-11 14:00:00,Go to bathroom
2020-09-13 16:00:00,2020-09-13 16:30:00,Wake up
2020-09-13 16:00:00,2020-09-13 16:30:00,Go to bathroom
2020-09-13 16:00:00,2020-09-13 16:30:00,Eat
2020-09-13 18:00:00,2020-09-13 18:30:00,Eat
2020-09-13 21:30:00,2020-09-13 22:00:00,Go to bathroom
2020-09-13 22:00:00,2020-09-13 22:30:00,Sleep
2020-09-14 09:30:00,2020-09-14 10:00:00,Wake up
2020-09-14 09:30:00,2020-09-14 10:00:00,Eat
2020-09-14 12:00:00,2020-09-14 12:30:00,Eat
